date,platform,post_type,likes,shares,comments,views
2023-07-23,Facebook,image,2062,557,457,5205
2023-02-01,Facebook,text,819,576,356,8995
2023-02-05,Facebook,text,2126,299,499,5889
2023-01-28,Facebook,text,1249,140,489,6360
2023-05-22,Facebook,text,1248,795,243,9100
2022-12-01,Twitter,image,454,465,335,8004
2023-01-24,Twitter,text,894,262,203,9986
2023-07-21,Instagram,image,1870,356,332,4817
2023-06-18,Instagram,image,715,173,361,7451
2023-08-28,Twitter,video,827,214,452,9289
2023-06-20,Instagram,image,1994,144,192,8890
2022-10-24,Twitter,text,1773,528,352,6754
2023-10-05,Instagram,image,1931,603,197,5081
2023-07-11,Facebook,image,1896,186,472,8576
2022-12-19,Facebook,text,1480,415,202,9584
2023-09-01,Facebook,image,1476,180,407,8650
2022-12-21,Twitter,image,1873,718,356,8263
2022-12-18,Instagram,video,1769,882,289,5625
2023-06-15,Twitter,text,2189,538,213,6341
2022-12-10,Twitter,text,605,531,316,9622
2023-07-05,Twitter,text,773,464,352,9229
2023-04-17,Twitter,video,1883,130,320,4854
2023-10-06,Instagram,video,808,315,493,6148
2022-11-17,Instagram,text,672,181,119,4265
2023-09-15,Instagram,text,1471,417,479,4976
2023-08-12,Twitter,text,1919,720,387,8951
2023-04-06,Twitter,text,1804,721,413,8800
2023-01-29,Facebook,video,863,862,379,8686
2022-12-12,Twitter,text,948,795,485,9737
2023-08-27,Twitter,video,1114,667,412,9521
2023-01-23,Twitter,image,1615,726,471,8539
2023-05-01,Twitter,text,1942,384,406,9296
2023-07-11,Facebook,text,1848,793,304,8269
2023-08-29,Twitter,text,1751,671,434,7637
2022-11-07,Facebook,text,446,855,498,4108
2023-04-14,Instagram,image,499,257,459,7806
2023-04-03,Twitter,text,1817,109,176,8017
2022-10-31,Instagram,image,694,511,179,8805
2023-07-24,Twitter,image,1189,715,370,6381
2023-03-11,Twitter,text,1649,197,486,9427
2023-05-15,Twitter,text,622,463,386,4092
2023-02-01,Facebook,image,1077,844,334,4783
2023-05-04,Facebook,video,1220,735,298,9527
2022-10-17,Facebook,text,1236,305,329,8595
2023-05-19,Facebook,text,820,618,149,9478
2023-02-20,Facebook,image,1791,656,112,5619
2023-06-26,Instagram,video,1820,614,228,8336
2022-11-02,Instagram,image,454,877,103,5012
2023-10-01,Instagram,image,805,299,214,6080
2022-12-16,Twitter,text,924,707,373,6946
2023-08-09,Instagram,video,1869,877,299,5875
2023-01-17,Facebook,video,1092,768,133,8192
2023-10-11,Twitter,video,1490,635,174,8974
2023-07-20,Facebook,image,774,332,327,7309
2023-06-23,Facebook,text,1491,374,145,8927
2023-06-22,Instagram,image,2040,639,296,8033
2023-05-01,Twitter,image,1383,241,310,5729
2022-10-26,Facebook,image,NaN,491,252,8187
2023-07-17,Instagram,video,479,320,461,4324
2023-09-10,Twitter,video,415,592,417,6228
2023-04-02,Facebook,text,1742,808,313,6482
2023-02-13,Twitter,image,683,304,495,8955
2022-11-08,Twitter,video,1244,669,396,9416
2022-12-26,Instagram,text,1454,485,428,4179
2022-11-26,Twitter,text,2082,465,177,9557
2023-05-13,Facebook,video,811,378,156,8994
2023-04-17,Facebook,video,1543,434,226,6495
2023-02-26,Instagram,text,1908,708,465,5804
2023-06-21,Instagram,text,1840,408,492,7675
2022-10-22,Instagram,image,840,787,347,4377
2023-09-03,Instagram,video,1545,464,359,6151
2023-05-30,Twitter,image,2079,547,208,6303
2023-06-22,Facebook,image,525,242,455,8111
2022-12-20,Instagram,text,1431,352,357,8955
2023-07-23,Twitter,text,2200,466,336,8037
2023-07-14,Twitter,image,1333,657,327,8566
2023-03-02,Instagram,text,1368,302,459,7387
2023-08-02,Facebook,video,1631,758,296,9421
2023-10-03,Twitter,image,785,351,226,5431
2023-05-22,Instagram,text,977,786,325,5850
2023-05-12,Instagram,text,1331,173,479,4707
2022-12-13,Instagram,video,1437,687,212,4287
2023-01-21,Facebook,text,624,466,340,8152
2023-05-01,Instagram,image,663,592,383,7143
2023-03-09,Facebook,text,1754,258,491,9015
2023-03-13,Instagram,text,613,850,460,6731
2023-03-10,Instagram,text,489,572,409,9338
2023-05-14,Instagram,text,1328,665,382,9544
2023-01-25,Twitter,video,840,501,345,9586
2023-03-24,Facebook,text,1349,233,319,5290
2023-01-07,Twitter,video,648,664,434,4098
2022-12-18,Instagram,video,786,350,237,5597
2022-12-08,Instagram,image,403,524,306,7570
2023-09-30,Facebook,video,1404,198,428,5724
2023-07-19,Facebook,video,1758,127,137,6093
2022-11-22,Facebook,image,447,131,365,5099
2023-04-17,Instagram,image,1552,328,192,4435
2023-05-25,Facebook,image,911,661,359,4124
2022-11-16,Facebook,text,1861,169,441,7547
2022-12-09,Facebook,image,1303,536,163,9396
2023-08-19,Instagram,image,1667,182,477,4930
2022-12-10,Instagram,text,2077,617,395,7790
2023-02-04,Instagram,image,848,610,451,8119
2023-03-01,Instagram,video,1081,823,422,5143
2023-01-13,Facebook,video,1096,479,442,8814
2023-09-12,Instagram,image,407,530,320,8211
2023-02-03,Instagram,text,1971,385,328,8542
2022-10-26,Twitter,image,1837,806,199,6694
2023-02-13,Facebook,video,1845,829,297,4179
2022-11-14,Instagram,image,785,616,453,4486
2023-10-11,Instagram,text,1913,205,120,4104
2023-09-25,Facebook,video,494,815,217,8086
2023-09-02,Instagram,image,1055,557,407,8964
2023-10-04,Instagram,text,1077,459,295,8852
2023-03-12,Twitter,image,2058,889,391,4179
2023-10-06,Instagram,text,1054,780,379,4802
2023-07-14,Facebook,text,1676,380,223,7666
2023-10-09,Instagram,image,2006,892,178,8038
2022-10-17,Instagram,text,1671,589,274,5616
2022-10-25,Instagram,video,898,114,243,9011
2023-04-17,Twitter,video,1410,199,438,8253
2022-11-23,Instagram,video,1178,848,203,9207
2023-04-29,Instagram,video,1035,667,225,8282
2023-07-07,Instagram,text,558,735,154,4422
2022-10-27,Twitter,video,1740,296,491,5059
2023-06-21,Twitter,image,493,410,391,9503
2023-01-19,Instagram,text,846,811,303,7336
2022-12-20,Facebook,image,450,349,312,7377
2023-10-07,Instagram,video,2060,549,335,4859
2023-06-16,Twitter,video,1643,133,186,6986
2023-09-04,Twitter,video,1551,102,237,9282
2023-08-21,Twitter,text,2186,290,442,9573
2023-09-29,Twitter,video,1687,778,421,7914
2022-12-14,Facebook,video,1437,215,441,7219
2022-11-28,Instagram,image,756,149,150,4526
2022-12-28,Twitter,video,720,276,410,6553
2023-02-06,Twitter,text,1294,199,329,4938
2023-02-07,Facebook,video,1560,205,221,4547
2023-01-17,Instagram,video,823,449,480,9916
2023-10-05,Instagram,text,989,188,366,5422
2023-08-13,Twitter,text,402,676,206,4649
2023-09-17,Instagram,image,1710,106,202,6555
2023-06-11,Twitter,image,1220,187,324,7716
2023-09-23,Instagram,image,869,269,179,7053
2022-12-12,Instagram,image,1160,224,454,4287
2023-07-28,Instagram,video,2048,131,272,4261
2022-12-13,Facebook,text,1974,886,393,7712
2022-12-07,Instagram,text,784,310,435,6941
2023-04-22,Facebook,text,433,823,446,7829
2022-10-30,Instagram,text,574,387,244,4954
2023-07-08,Twitter,image,913,613,161,4147
2023-06-08,Instagram,video,1618,183,359,9841
2023-03-03,Twitter,text,1571,623,392,8121
2023-08-17,Facebook,video,459,656,437,6563
2023-06-27,Twitter,image,1884,146,303,9489
2023-05-18,Instagram,video,1946,864,415,8201
2023-05-04,Facebook,text,1171,225,225,6123
2023-04-26,Instagram,image,938,804,416,8773
2023-03-22,Instagram,video,1475,267,435,9506
2023-07-17,Instagram,image,1842,469,455,5424
2023-01-29,Twitter,text,1735,147,415,9288
2023-06-20,Twitter,image,720,525,462,9059
2023-10-07,Twitter,text,800,717,226,6651
2023-05-04,Facebook,image,553,343,161,8178
2022-12-21,Instagram,text,1011,650,103,5860
2023-06-25,Facebook,text,738,716,479,6742
2023-01-26,Facebook,video,1610,129,479,8445
2022-12-05,Facebook,image,1297,294,259,7699
2022-12-11,Facebook,image,887,182,172,4843
2023-08-17,Twitter,image,1949,859,339,5437
2023-01-20,Instagram,text,2174,816,318,5403
2023-08-10,Instagram,image,1469,254,226,7361
2023-03-05,Instagram,text,891,100,376,5227
2023-05-21,Instagram,image,1858,808,125,7068
2023-09-16,Facebook,image,2097,426,151,4087
2023-07-04,Twitter,text,1133,324,175,6288
2023-07-20,Twitter,text,746,269,121,7528
2023-05-26,Instagram,text,733,789,163,6075
2023-01-25,Facebook,image,1827,583,320,8949
2022-12-21,Instagram,video,1289,783,152,8110
2023-10-10,Twitter,text,1817,810,390,6255
2023-10-12,Facebook,image,1015,258,277,7851
2023-04-15,Facebook,image,2121,667,334,6273
2023-06-20,Facebook,image,730,113,475,5232
2022-12-01,Facebook,image,1568,311,467,7144
2023-01-19,Twitter,image,497,602,408,NaN
2023-07-20,Twitter,image,768,240,161,5096
2023-09-14,Twitter,text,1579,478,301,7302
2023-03-26,Facebook,text,2177,710,326,6714
2023-07-11,Twitter,image,793,267,284,5072
2023-07-17,Instagram,image,459,186,441,4893
2023-08-15,Facebook,text,1252,565,493,5598
2023-05-24,Twitter,video,1677,819,341,9722
2023-02-13,Facebook,text,1007,568,104,9269
2023-06-05,Facebook,text,493,512,330,6454
2023-04-17,Facebook,image,1354,557,482,5697
2023-01-19,Twitter,text,542,729,495,9723
2023-03-20,Twitter,image,2138,313,404,7516
2022-11-29,Instagram,text,1092,883,254,7294
2023-07-17,Instagram,text,769,163,426,6579
2023-02-15,Twitter,video,1401,466,355,7840
2022-12-30,Facebook,video,600,532,375,7956
2023-01-07,Facebook,video,884,373,466,5995
2023-03-11,Twitter,image,405,207,161,5291
2023-05-01,Instagram,text,1053,758,192,8599
2023-06-12,Twitter,text,1466,371,301,6011
2023-05-10,Twitter,image,1782,639,219,6493
2023-05-16,Twitter,text,1540,629,387,6710
2023-09-28,Twitter,image,2182,696,267,6501
2022-11-18,Instagram,text,1181,168,444,7530
2023-01-29,Facebook,video,824,411,496,6576
2023-10-10,Instagram,image,932,304,423,7300
2022-12-02,Twitter,video,992,877,241,6375
2023-09-04,Facebook,text,1064,456,113,5087
2022-11-23,Instagram,image,1261,542,364,8537
2023-06-25,Facebook,video,1837,515,139,7716
2023-02-27,Twitter,image,619,143,180,7653
2023-05-19,Instagram,text,694,454,411,8761
2023-06-14,Facebook,image,1115,790,193,7395
2023-03-13,Twitter,image,1815,692,312,7188
2023-05-07,Twitter,image,1300,350,245,8934
2023-02-14,Instagram,image,1063,438,121,6348
2023-09-04,Twitter,video,1532,869,303,6991
2022-10-17,Twitter,video,1835,670,119,7783
2023-05-24,Facebook,video,725,513,456,6416
2022-11-27,Facebook,video,492,558,267,8274
2022-11-24,Facebook,image,889,162,314,8331
2023-09-20,Twitter,text,2129,748,126,7659
2023-01-25,Twitter,image,1628,763,337,7413
2023-09-25,Instagram,text,1114,344,448,4704
2023-04-05,Instagram,image,598,421,123,6765
2022-12-07,Instagram,text,1558,231,124,9426
2022-10-26,Facebook,text,1140,680,439,7962
2023-04-14,Instagram,video,435,468,358,7251
2023-05-16,Twitter,video,1363,774,150,5864
2022-12-25,Twitter,text,503,674,387,6841
2023-10-01,Facebook,video,1130,670,225,6575
2023-02-27,Instagram,image,1554,183,499,9728
2023-06-10,Facebook,image,1655,428,342,7387
2023-10-06,Instagram,image,1658,417,440,7661
2023-06-10,Twitter,video,2027,559,373,9064
2023-03-06,Facebook,image,825,229,379,6020
2023-03-26,Facebook,video,2084,860,279,8851
2023-05-06,Twitter,text,2023,792,390,4392
2023-03-03,Instagram,video,743,344,192,7959
2023-02-24,Twitter,video,906,138,424,7116
2022-11-26,Facebook,video,1711,318,412,4018
2023-08-27,Twitter,text,739,743,356,5833
2023-02-08,Instagram,image,434,159,333,8231
2022-10-28,Facebook,image,1577,341,145,5547
2023-04-01,Twitter,video,1841,453,480,7474
2023-02-20,Twitter,video,1965,843,365,8952
2023-07-19,Twitter,image,1903,597,266,8275
2023-01-29,Twitter,video,1124,497,281,7689
2022-11-14,Instagram,image,474,817,479,6768
2023-09-29,Twitter,video,683,585,500,6946
2023-08-15,Instagram,text,696,845,338,7853
2022-12-01,Facebook,video,1446,811,402,7306
2023-01-26,Twitter,video,573,147,114,4462
2023-08-14,Twitter,image,1327,768,430,4914
2023-10-10,Instagram,image,2146,485,327,6075
2023-04-25,Instagram,text,2016,425,140,8253
2023-04-13,Facebook,video,1837,638,306,5854
2023-05-21,Twitter,text,918,446,401,6084
2023-08-02,Instagram,image,1885,656,172,8959
2022-11-08,Instagram,text,452,877,335,7517
2023-02-20,Twitter,video,687,442,177,9119
2023-03-29,Twitter,image,1675,734,468,5908
2023-07-01,Facebook,video,1195,486,150,4640
2023-04-10,Instagram,image,1051,313,472,7149
2023-09-10,Instagram,text,1949,101,156,8654
2023-09-07,Facebook,image,1410,350,222,5665
2022-12-11,Twitter,text,1032,139,305,6172
2023-10-08,Instagram,text,472,126,260,7374
2022-12-01,Twitter,image,1913,391,112,6221
2023-08-31,Twitter,image,845,578,153,8970
2023-08-18,Facebook,text,587,292,353,4329
2022-12-30,Twitter,text,1613,863,366,9897
2023-10-06,Instagram,video,2074,449,246,7383
2023-05-02,Instagram,video,1868,494,442,8856
2023-05-07,Twitter,image,954,513,190,6530
2023-05-31,Instagram,image,1919,889,323,9439
2023-04-26,Facebook,text,1446,676,444,8666
2023-09-16,Facebook,video,769,436,170,7547
2023-08-12,Twitter,video,610,604,453,9754
2023-02-11,Twitter,video,1479,206,239,6330
2022-11-06,Facebook,image,508,591,272,4693
2023-07-24,Instagram,video,769,879,480,6253
2023-08-07,Instagram,image,1633,654,168,4506
2023-09-08,Instagram,text,1680,194,408,4494
2022-12-13,Facebook,video,1161,802,441,8556
2023-09-07,Instagram,text,1185,336,310,5271
2023-07-08,Twitter,video,1482,640,345,5816
2023-09-16,Facebook,text,2083,278,464,8197
2023-07-22,Facebook,image,2107,899,443,9476
2022-10-21,Twitter,image,576,447,419,6777
2023-09-29,Facebook,video,2046,NaN,459,9565
2023-09-25,Facebook,video,786,398,338,4619
2023-07-03,Instagram,image,1497,279,156,4504
2023-07-25,Twitter,image,632,562,227,6259
2023-07-30,Instagram,video,1756,755,316,8890
2022-11-24,Facebook,video,767,259,289,8990
2023-07-28,Twitter,text,999,285,170,7490
2023-06-01,Twitter,image,1737,446,120,9330
2023-09-30,Instagram,image,2070,296,174,5901
2023-05-08,Instagram,image,484,874,271,6019
2022-10-26,Twitter,text,657,450,335,8418
2022-10-27,Facebook,image,1072,348,284,5746
2023-10-11,Facebook,video,1800,608,270,7741
2022-10-24,Instagram,video,911,209,401,8290
2023-09-22,Twitter,video,419,481,342,7399
2023-05-08,Facebook,text,1364,642,278,7021
2023-02-12,Twitter,video,542,479,356,6633
2023-08-19,Instagram,text,811,832,382,6762
2023-10-06,Facebook,text,463,308,157,6093
2022-12-10,Twitter,video,474,349,341,5496
2023-05-09,Facebook,image,1535,589,207,6007
2023-08-17,Twitter,video,1260,272,254,9964
2023-10-08,Instagram,image,686,202,444,8060
2023-03-28,Facebook,image,1194,465,114,4767
2023-05-05,Instagram,text,2100,752,496,8727
2023-01-23,Facebook,text,672,705,301,4911
2023-09-04,Facebook,text,544,869,415,9429
2023-09-07,Instagram,text,1765,477,242,6615
2023-07-09,Twitter,text,2169,571,446,4007
2023-03-13,Facebook,text,671,138,285,8016
2023-07-12,Instagram,text,991,234,291,5969
2023-01-19,Facebook,video,1179,784,298,5535
2022-12-08,Twitter,text,2039,524,186,8285
2023-08-04,Instagram,text,1386,108,405,7837
2023-04-08,Twitter,video,1720,866,445,7304
2023-03-30,Instagram,image,418,786,302,9934
2023-08-17,Instagram,video,2098,322,315,4690
2023-08-02,Instagram,video,1975,447,284,5956
2023-07-02,Facebook,text,2079,659,427,5490
2022-12-09,Facebook,text,1462,668,195,4786
2023-07-17,Instagram,image,546,210,330,5214
2022-12-03,Instagram,text,406,521,415,8467
2023-01-27,Instagram,text,2091,783,175,6845
2023-01-14,Twitter,video,548,601,425,8632
2023-02-23,Facebook,text,2178,286,264,5746
2023-09-03,Facebook,image,520,571,294,9911
2023-06-03,Instagram,video,983,228,389,7261
2022-12-03,Twitter,image,1812,270,489,4038
2022-11-20,Instagram,video,1929,136,245,8730
2023-04-04,Instagram,image,1292,495,311,8355
2023-02-01,Instagram,video,713,444,469,8322
2023-02-23,Facebook,video,1364,502,178,6134
2022-11-29,Twitter,image,1915,153,110,5117
2023-10-04,Facebook,video,1873,733,320,4882
2023-04-23,Facebook,text,2150,597,162,4004
2022-10-23,Instagram,image,1948,801,416,6023
2023-07-23,Facebook,video,1439,568,390,9115
2023-03-28,Instagram,image,472,128,433,8361
2022-11-13,Instagram,video,2006,193,335,7099
2023-05-01,Instagram,video,725,385,333,7898
2023-09-29,Facebook,image,796,682,168,4519
2023-04-10,Facebook,video,2065,453,425,8316
2023-09-25,Facebook,video,774,720,162,9305
2023-07-05,Facebook,text,2048,242,295,9701
2023-02-18,Facebook,image,1631,679,235,8222
2023-03-29,Facebook,text,1000,677,264,8864
2023-06-08,Facebook,video,605,216,425,9440
2022-12-20,Facebook,video,1190,320,319,5108
2023-04-08,Twitter,video,1039,770,386,7336
2023-04-07,Facebook,video,1571,505,103,9151
2023-01-05,Instagram,video,1159,865,113,9730
2022-12-09,Facebook,text,683,870,395,7303
2022-11-18,Facebook,image,900,476,264,8481
2022-12-18,Instagram,video,1210,325,140,5150
2023-03-22,Twitter,text,463,772,157,7606
2023-01-05,Twitter,image,1379,217,132,8472
2023-08-17,Twitter,image,1791,632,198,4595
2023-05-25,Instagram,image,982,889,318,4092
2023-03-23,Facebook,text,564,326,471,5555
2023-03-24,Twitter,text,1379,682,225,5561
2023-05-31,Facebook,text,956,749,252,5333
2023-02-09,Facebook,image,488,685,393,4058
2022-12-19,Facebook,text,1899,436,226,5539
2023-06-08,Twitter,video,2167,194,481,9305
2023-03-06,Instagram,image,954,448,219,8742
2023-03-20,Instagram,image,515,653,407,8650
2023-02-01,Instagram,text,1128,737,104,6014
2023-03-17,Twitter,video,848,168,282,6144
2023-07-17,Facebook,text,1691,224,108,4027
2022-11-04,Twitter,image,792,214,254,6429
2023-07-22,Facebook,image,1662,491,257,8069
2023-06-19,Facebook,image,516,421,426,5786
2023-06-10,Twitter,video,1642,811,183,6502
2023-05-30,Twitter,video,1673,179,204,6433
2023-02-07,Twitter,image,1591,111,188,5101
2023-05-01,Instagram,image,1404,394,487,8539
2023-07-17,Instagram,image,881,419,476,8762
2023-03-06,Facebook,video,2009,602,487,7325
2022-12-16,Facebook,image,1108,522,450,9689
2022-12-24,Instagram,image,834,177,361,6923
2022-11-13,Instagram,image,2064,885,106,4295
2023-02-12,Twitter,video,845,589,397,6324
2023-05-12,Instagram,video,2145,614,155,7002
2023-03-30,Instagram,video,1405,300,108,5906
2023-02-27,Facebook,image,1399,246,383,8040
2023-09-23,Twitter,video,1588,447,184,5792
2023-09-14,Facebook,video,1222,347,310,8320
2023-05-29,Facebook,text,674,164,267,7797
2023-07-19,Instagram,image,654,725,NaN,7782
2023-06-26,Instagram,text,576,436,137,7069
2023-03-20,Twitter,image,1215,597,228,7371
2023-03-30,Twitter,text,709,782,444,4809
2022-12-07,Twitter,text,1578,731,491,7528
2022-12-28,Twitter,text,507,568,338,9859
2022-11-09,Twitter,image,2156,421,476,4279
2023-02-22,Facebook,image,1207,305,113,4592
2023-05-28,Instagram,text,1366,164,219,7123
2022-10-19,Instagram,video,1629,794,481,4784
2023-03-13,Twitter,video,1249,440,473,9766
2022-10-14,Twitter,image,1419,131,414,8810
2023-04-26,Facebook,image,835,392,187,8819
2023-08-03,Twitter,image,609,144,484,7232
2023-03-20,Twitter,text,649,520,379,5356
2022-12-07,Facebook,text,1609,804,267,6409
2022-11-19,Facebook,video,1389,712,192,6896
2023-03-19,Twitter,video,1520,695,208,5308
2022-11-07,Facebook,image,1010,853,442,6879
2023-05-27,Instagram,image,2077,156,363,9452
2023-05-05,Twitter,text,1984,407,365,7150
2023-09-21,Twitter,image,635,729,167,5137
2022-11-13,Facebook,video,2030,539,206,4209
2023-03-18,Instagram,image,1945,206,330,7207
2023-03-28,Facebook,image,1318,561,405,9041
2023-05-02,Twitter,image,1192,338,304,8845
2023-02-12,Facebook,image,1152,491,446,4300
2023-10-10,Instagram,video,1797,514,177,7758
2023-08-03,Facebook,image,2021,733,307,5090
2023-02-06,Facebook,text,2053,629,415,6741
2023-01-23,Facebook,text,1751,473,181,4398
2023-10-11,Facebook,text,1082,579,168,7554
2023-07-26,Facebook,text,1338,556,153,5421
2023-02-04,Twitter,text,672,406,105,8904
2023-06-17,Instagram,video,1179,108,365,5487
2023-03-31,Facebook,text,1626,561,422,7698
2022-11-02,Instagram,text,1394,688,383,6236
2023-03-07,Twitter,image,1900,763,200,5648
2022-11-20,Facebook,image,1062,799,337,6440
2023-05-19,Instagram,video,1027,564,306,6580
2023-05-10,Twitter,text,1020,468,352,5359
2023-08-05,Twitter,text,1606,628,302,5260
2023-09-23,Instagram,image,980,890,252,4104
2023-02-19,Facebook,video,1546,827,205,9057
2023-08-08,Facebook,video,922,244,371,4333
2022-10-16,Twitter,image,656,243,486,6251
2023-04-19,Twitter,text,1543,357,470,5765
2023-06-17,Twitter,image,2006,715,331,8176
2022-12-15,Instagram,video,1371,125,235,7774
2023-01-03,Instagram,text,2160,886,382,6316
2023-07-30,Twitter,image,1908,853,401,6841
2022-12-18,Instagram,video,2168,819,167,8180
2023-01-19,Instagram,video,1471,292,147,9536
2023-03-02,Instagram,image,1059,507,434,4437
2022-12-16,Twitter,image,955,675,330,5736
2023-05-11,Facebook,text,1922,288,496,5683
2023-02-07,Twitter,video,1324,530,257,9031
2023-06-06,Twitter,text,1078,203,169,6312
2023-02-02,Facebook,image,1918,447,451,9848
2023-05-24,Instagram,video,960,null,486,6927
2023-03-30,Twitter,video,870,618,281,4560
2023-04-14,Instagram,video,1911,426,252,4858
2023-06-20,Twitter,image,1511,393,392,8702
2023-05-08,Facebook,video,815,410,253,9963
2023-05-05,Instagram,image,1376,318,425,8288
2023-01-10,Twitter,text,1985,561,351,6752
2023-09-18,Twitter,video,1450,243,432,6142
2023-01-31,Twitter,video,1838,377,321,6890
2023-06-05,Instagram,video,595,667,246,6474
2023-01-17,Facebook,text,1132,136,497,9185
2023-05-21,Facebook,text,778,843,235,9335
2023-02-23,Facebook,video,1001,719,398,4177
2023-06-21,Instagram,image,1866,209,351,5168
2022-11-07,Twitter,image,1351,771,363,6608
2022-10-31,Instagram,video,485,663,236,9927
2022-11-22,Facebook,video,1825,186,252,6460
2023-07-30,Twitter,video,1097,818,249,7922
2023-08-18,Facebook,image,936,120,164,9093
2023-04-27,Instagram,image,781,610,390,5298
2023-01-19,Facebook,video,977,325,310,8695
2023-01-07,Twitter,image,892,880,215,4955
2023-04-26,Instagram,image,1930,626,118,7184
2023-03-24,Instagram,video,709,498,360,6352
2023-10-10,Twitter,image,531,550,352,7490
2022-11-19,Facebook,video,988,662,110,8296
2022-12-07,Twitter,text,1662,229,453,9523
2022-11-15,Instagram,video,2095,306,111,7716
2023-08-05,Instagram,image,669,592,219,9822
2023-10-03,Instagram,image,2091,404,153,5549
2023-02-15,Instagram,image,1567,875,459,4768
2022-11-28,Twitter,text,1811,233,225,9796
2022-12-23,Instagram,text,606,810,118,8113
2023-02-16,Facebook,image,1558,871,377,9703
2023-09-11,Instagram,text,1333,768,475,8652
2023-04-03,Instagram,text,817,769,395,7830
2023-10-03,Instagram,text,2029,871,426,5718
2022-11-24,Facebook,video,1734,706,106,7745
2023-03-23,Facebook,image,691,253,287,5031
2023-03-19,Instagram,video,636,824,452,5140
2023-07-15,Instagram,text,1915,688,138,6845
2022-11-09,Facebook,video,1168,708,488,9645
2023-05-22,Instagram,video,1803,676,115,7355
2023-03-24,Twitter,video,867,202,438,9326
2022-10-27,Instagram,image,583,249,461,9463
2023-08-05,Twitter,text,2178,NaN,490,5000
2023-08-12,Instagram,image,1737,357,451,4467
2023-07-19,Twitter,video,2189,720,233,6904
2022-12-20,Instagram,video,683,370,355,9125
2023-01-31,Facebook,image,424,558,342,4642
2023-04-11,Facebook,text,1130,448,229,7445
2022-12-03,Instagram,video,1096,577,107,6354
2022-11-10,Instagram,video,1638,842,212,8164
2023-03-03,Twitter,image,1445,142,469,4676
2023-05-10,Facebook,image,511,511,325,8185
2022-10-26,Instagram,video,1465,372,154,4446
2023-04-04,Instagram,video,1250,679,339,4786
2023-09-20,Instagram,image,707,845,314,7833
2022-10-19,Twitter,text,1197,850,155,8959
2023-09-21,Facebook,text,931,878,320,7451
2022-12-17,Instagram,video,519,848,298,9110
2023-08-14,Facebook,image,1035,678,459,9144
2023-07-27,Instagram,image,1109,235,234,5082
2022-10-28,Instagram,image,1620,220,487,4973
2023-04-02,Twitter,image,954,576,426,5744
2023-05-04,Twitter,video,1267,155,269,6599
2022-12-20,Facebook,text,909,630,226,4484
2023-10-02,Instagram,text,1201,359,248,8667
2023-08-09,Twitter,image,1953,357,181,7045
2023-07-08,Twitter,video,2134,234,474,9323
2023-03-12,Twitter,video,542,831,168,8912
2023-06-07,Twitter,video,1951,300,437,4909
2023-06-18,Twitter,image,1435,819,336,7818
2023-02-12,Instagram,video,1396,876,356,8168
2023-03-05,Instagram,image,810,759,236,4931
2023-03-15,Instagram,text,610,502,234,5906
2023-05-15,Facebook,image,1491,632,420,4649
2023-01-14,Facebook,video,558,179,176,6453
2023-01-27,Facebook,text,1627,541,484,6911
2023-01-13,Facebook,image,686,785,135,6782
2023-05-06,Twitter,text,1829,154,410,9416
2023-02-16,Facebook,image,1130,218,372,9512
2023-01-12,Instagram,image,577,636,477,6012
2023-03-07,Facebook,text,499,783,343,9155
2023-02-12,Twitter,image,564,388,462,5589
2023-08-05,Twitter,text,1289,778,315,5517
2023-10-04,Facebook,text,1920,174,331,9553
2023-07-06,Facebook,text,1513,196,364,6488
2023-05-01,Instagram,text,1484,810,157,4443
2022-11-27,Facebook,text,2155,128,148,7065
2023-05-18,Facebook,image,1867,825,174,5527
2023-06-29,Twitter,video,1193,375,181,5543
2023-05-28,Twitter,image,2019,468,316,4861
2023-01-28,Twitter,image,1379,271,299,5552
2022-12-05,Twitter,text,801,782,114,5396
2023-03-13,Twitter,image,410,339,215,8224
2023-03-03,Facebook,text,788,144,242,5720
2023-04-27,Instagram,video,1941,138,329,4361
2022-12-10,Instagram,image,1306,349,113,8678
2023-01-23,Twitter,text,1652,270,203,5609
2023-01-25,Facebook,image,1014,359,441,4815
2023-03-12,NonExistingPlatform,text,407,341,333,5240
2023-04-18,Instagram,video,1885,221,334,7350
2023-09-18,Instagram,text,1965,259,197,8233
2023-05-27,Facebook,video,1146,872,191,6092
2023-10-08,Instagram,image,1332,643,149,5341
2022-10-17,Facebook,video,600,551,136,7682
2023-09-23,Instagram,video,1482,493,387,8329
2023-04-29,Instagram,image,1759,577,391,4916
2022-11-08,Instagram,image,1871,663,278,9288
2022-11-17,Instagram,text,1292,751,201,6506
2022-11-14,Instagram,image,2112,374,316,5929
2023-07-14,Twitter,image,592,564,204,9191
2023-01-29,Twitter,video,828,126,375,9090
2022-12-08,Facebook,image,640,308,373,9170
2022-12-08,Facebook,video,618,865,436,8206
2023-08-01,Instagram,video,1622,614,335,7367
2023-06-20,Facebook,image,543,332,246,4645
2023-02-28,Twitter,video,1184,571,121,7892
2023-03-02,Facebook,text,1514,552,288,4183
2023-10-05,Facebook,image,626,239,393,4480
2023-07-30,Facebook,video,1000,438,416,9346
2022-11-20,Twitter,video,1722,356,245,9310
2023-08-11,Twitter,image,2187,551,102,4134
2023-04-15,Twitter,text,1041,656,222,5195
2022-11-16,Facebook,image,961,262,350,7459
2023-01-07,Instagram,image,1749,653,259,4388
2023-10-10,Twitter,text,594,671,130,8075
